Player,Team,Match Up,Game Date,Column 5,Win Loss,Min,Points,FGM,FGA,FG%,3PT,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PlusMinus,Fantasy
Rudy Gobert,UTA,29,C,71,71,100.0%,9.2,22.3,41.3,49.3,-7.9,,,,,,,,,,,,,,,
Brook Lopez,MIL,33,C,69,69,100.0%,9.0,19.8,45.2,48.9,-3.6,,,,,,,,,,,,,,,
Nikola Jokic,DEN,26,C,71,71,100.0%,8.8,18.0,49.0,49.2,-0.2,,,,,,,,,,,,,,,
Nikola Vucevic,CHI,30,C,69,69,100.0%,8.6,17.1,50.4,49.2,1.2,,,,,,,,,,,,,,,
Domantas Sabonis,IND,25,F-C,61,61,100.0%,8.5,18.1,47.1,48.8,-1.7,,,,,,,,,,,,,,,
Jonas Valanciunas,MEM,29,C,62,62,100.0%,8.3,16.8,49.5,48.9,0.6,,,,,,,,,,,,,,,
Joel Embiid,PHI,27,C-F,51,51,100.0%,8.2,17.4,47.2,49.5,-2.3,,,,,,,,,,,,,,,
Karl-Anthony Towns,MIN,25,C-F,50,50,100.0%,8.1,16.5,49.0,49.5,-0.5,,,,,,,,,,,,,,,
Myles Turner,IND,25,C-F,46,46,100.0%,8.1,17.9,45.2,49.3,-4.1,,,,,,,,,,,,,,,
Christian Wood,HOU,25,F,41,41,100.0%,8.0,17.5,45.8,47.6,-1.8,,,,,,,,,,,,,,,
Mason Plumlee,DET,31,F-C,56,56,100.0%,8.0,14.7,54.4,50.6,3.9,,,,,,,,,,,,,,,
Kristaps Porzingis,DAL,25,F-C,43,43,100.0%,8.0,16.6,48.2,48.4,-0.2,,,,,,,,,,,,,,,
Deandre Ayton,PHX,22,C,67,67,100.0%,8.0,17.1,46.6,48.3,-1.8,,,,,,,,,,,,,,,
Jakob Poeltl,SAS,25,C,69,69,100.0%,7.8,17.3,44.9,48.6,-3.7,,,,,,,,,,,,,,,
Pascal Siakam,TOR,27,F,56,56,100.0%,7.8,15.6,49.6,47.0,2.6,,,,,,,,,,,,,,,
Al Horford,BOS,35,C-F,27,27,100.0%,7.7,15.1,50.9,48.9,2.0,,,,,,,,,,,,,,,
Enes Freedom,POR,29,C,69,69,100.0%,7.6,15.0,50.8,49.4,1.4,,,,,,,,,,,,,,,
Kelly Olynyk,HOU,30,F-C,70,70,100.0%,7.5,15.0,50.2,47.8,2.5,,,,,,,,,,,,,,,
P.J. Washington,CHA,22,F,63,63,100.0%,7.4,14.6,50.5,47.9,2.6,,,,,,,,,,,,,,,
Robert Covington,POR,30,F,67,67,100.0%,7.2,14.7,49.2,47.6,1.6,,,,,,,,,,,,,,,
Clint Capela,ATL,27,C,63,63,100.0%,7.2,15.3,47.0,49.8,-2.7,,,,,,,,,,,,,,,
Thomas Bryant,WAS,23,C-F,10,10,100.0%,7.1,15.9,44.7,48.9,-4.3,,,,,,,,,,,,,,,
De'Aaron Fox,SAC,23,G,56,56,100.0%,7.1,14.7,48.2,45.9,2.2,,,,,,,,,,,,,,,
Shai Gilgeous-Alexander,OKC,22,G-F,34,34,100.0%,7.0,14.7,47.9,45.9,2.0,,,,,,,,,,,,,,,
Andre Drummond,LAL,27,C,46,46,100.0%,7.0,13.5,51.8,49.6,2.2,,,,,,,,,,,,,,,
Jarrett Allen,CLE,23,C,63,63,100.0%,7.0,15.0,46.4,49.3,-2.9,,,,,,,,,,,,,,,
Isaac Okoro,CLE,20,F-G,67,67,100.0%,6.9,13.0,52.9,45.9,7.0,,,,,,,,,,,,,,,
Royce O'Neale,UTA,28,F,71,71,100.0%,6.9,13.9,49.4,47.1,2.4,,,,,,,,,,,,,,,
Richaun Holmes,SAC,27,F,60,60,100.0%,6.9,14.9,46.1,49.1,-3.0,,,,,,,,,,,,,,,
LaMarcus Aldridge,BKN,35,C-F,26,26,100.0%,6.9,14.7,46.9,47.7,-0.8,,,,,,,,,,,,,,,
Kemba Walker,OKC,31,G,43,43,100.0%,6.9,13.5,50.9,46.3,4.6,,,,,,,,,,,,,,,
Oshae Brissett,IND,23,F-G,20,20,100.0%,6.8,13.8,49.6,47.2,2.4,,,,,,,,,,,,,,,
Darius Bazley,OKC,21,F-G,54,54,100.0%,6.8,15.0,45.6,47.1,-1.6,,,,,,,,,,,,,,,
Buddy Hield,SAC,28,G,69,69,100.0%,6.8,14.0,48.8,46.1,2.7,,,,,,,,,,,,,,,
Steven Adams,NOP,27,C,56,56,100.0%,6.8,14.3,47.3,49.4,-2.1,,,,,,,,,,,,,,,
Wendell Carter Jr.,ORL,22,C-F,54,54,100.0%,6.7,14.2,46.9,49.7,-2.8,,,,,,,,,,,,,,,
Serge Ibaka,LAC,31,F,41,41,100.0%,6.7,14.0,47.7,49.2,-1.5,,,,,,,,,,,,,,,
Moses Brown,BOS,21,C,41,41,100.0%,6.6,13.3,50.0,48.3,1.7,,,,,,,,,,,,,,,
Draymond Green,GSW,31,F,62,62,100.0%,6.6,14.8,44.7,48.1,-3.4,,,,,,,,,,,,,,,
Andrew Wiggins,GSW,26,F,70,70,100.0%,6.6,14.8,44.4,46.6,-2.3,,,,,,,,,,,,,,,
Derrick White,SAS,26,G,36,36,100.0%,6.6,14.1,46.8,46.4,0.4,,,,,,,,,,,,,,,
Fred VanVleet,TOR,27,G,52,52,100.0%,6.6,14.3,45.8,46.2,-0.4,,,,,,,,,,,,,,,
Terry Rozier,CHA,27,G,68,68,100.0%,6.5,13.6,47.8,45.8,2.0,,,,,,,,,,,,,,,
Julius Randle,NYK,26,F-C,70,70,100.0%,6.5,14.7,44.2,47.8,-3.6,,,,,,,,,,,,,,,
Cameron Oliver,HOU,24,F,4,4,100.0%,6.5,11.5,56.5,46.7,9.8,,,,,,,,,,,,,,,
John Collins,ATL,23,F-C,63,63,100.0%,6.5,13.3,48.9,47.9,1.0,,,,,,,,,,,,,,,
Ivica Zubac,LAC,24,C,71,71,100.0%,6.5,14.5,44.6,49.6,-5.0,,,,,,,,,,,,,,,
Daniel Theis,CHI,29,F-C,65,65,100.0%,6.5,13.6,47.6,48.3,-0.7,,,,,,,,,,,,,,,
Jaren Jackson Jr.,MEM,21,F-C,11,11,100.0%,6.5,11.6,55.9,48.5,7.4,,,,,,,,,,,,,,,
Anthony Davis,LAL,28,F-C,36,36,100.0%,6.4,14.1,45.4,47.9,-2.5,,,,,,,,,,,,,,,
Kevin Porter Jr.,HOU,21,G-F,26,26,100.0%,6.4,12.3,52.0,47.5,4.6,,,,,,,,,,,,,,,
Josh Hart,NOP,26,G,46,46,100.0%,6.4,13.2,48.5,46.3,2.2,,,,,,,,,,,,,,,
Jusuf Nurkic,POR,26,C,36,36,100.0%,6.3,13.2,47.9,49.5,-1.6,,,,,,,,,,,,,,,
Zion Williamson,NOP,20,F,59,59,100.0%,6.3,13.8,45.2,46.7,-1.5,,,,,,,,,,,,,,,
Dennis Schroder,LAL,27,G,61,61,100.0%,6.2,12.6,49.6,46.5,3.1,,,,,,,,,,,,,,,
CJ McCollum,POR,29,G,46,46,100.0%,6.2,13.2,47.0,45.1,1.9,,,,,,,,,,,,,,,
Mikal Bridges,PHX,24,F,69,69,100.0%,6.2,12.5,49.6,46.8,2.8,,,,,,,,,,,,,,,
Bam Adebayo,MIA,23,C-F,62,62,100.0%,6.2,13.8,44.9,48.1,-3.3,,,,,,,,,,,,,,,
Marvin Bagley III,SAC,22,F,42,42,100.0%,6.2,11.9,51.8,47.6,4.2,,,,,,,,,,,,,,,
Dillon Brooks,MEM,25,G-F,67,67,100.0%,6.2,13.0,47.4,46.0,1.4,,,,,,,,,,,,,,,
Caris LeVert,IND,26,G,47,47,100.0%,6.1,12.9,47.2,46.3,0.9,,,,,,,,,,,,,,,
Jrue Holiday,MIL,31,G,58,58,100.0%,6.1,13.2,46.0,46.7,-0.7,,,,,,,,,,,,,,,
Malcolm Brogdon,IND,28,G,55,55,100.0%,6.1,12.6,48.2,46.8,1.4,,,,,,,,,,,,,,,
Eric Bledsoe,NOP,31,G,69,69,100.0%,6.1,12.4,49.2,45.8,3.4,,,,,,,,,,,,,,,
DeAndre Jordan,BKN,32,C,57,57,100.0%,6.1,13.4,45.2,49.4,-4.2,,,,,,,,,,,,,,,
Kyle Lowry,TOR,35,G,46,46,100.0%,6.1,13.2,46.0,45.8,0.2,,,,,,,,,,,,,,,
Bradley Beal,WAS,28,G,59,59,100.0%,6.1,12.7,47.9,46.5,1.4,,,,,,,,,,,,,,,
Victor Oladipo,MIA,29,G,31,31,100.0%,6.1,13.3,45.5,46.1,-0.6,,,,,,,,,,,,,,,
Lonzo Ball,NOP,23,G,53,53,100.0%,6.0,12.7,47.3,45.8,1.6,,,,,,,,,,,,,,,
Maxi Kleber,DAL,29,F,50,50,100.0%,6.0,13.4,44.8,47.7,-2.9,,,,,,,,,,,,,,,
Cam Reddish,ATL,21,F-G,26,26,100.0%,6.0,11.8,51.0,46.4,4.6,,,,,,,,,,,,,,,
Elijah Bryant,MIL,26,G,1,1,100.0%,6.0,9.0,66.7,48.6,18.0,,,,,,,,,,,,,,,
Robin Lopez,WAS,33,C,70,70,100.0%,6.0,12.4,48.0,49.1,-1.1,,,,,,,,,,,,,,,
RJ Barrett,NYK,21,F-G,71,71,100.0%,6.0,13.9,43.0,45.7,-2.7,,,,,,,,,,,,,,,
Luka Doncic,DAL,22,F-G,66,66,100.0%,5.9,13.1,45.3,45.8,-0.5,,,,,,,,,,,,,,,
Chris Boucher,TOR,28,F-C,60,60,100.0%,5.9,13.3,44.6,47.4,-2.8,,,,,,,,,,,,,,,
Paul George,LAC,31,F,54,54,100.0%,5.9,12.8,46.2,46.7,-0.6,,,,,,,,,,,,,,,
Evan Fournier,BOS,28,G-F,41,41,100.0%,5.9,12.5,47.6,46.4,1.1,,,,,,,,,,,,,,,
Darius Garland,CLE,21,G,54,54,100.0%,5.9,12.1,48.9,44.8,4.1,,,,,,,,,,,,,,,
Khris Middleton,MIL,29,F,67,67,100.0%,5.9,12.4,47.5,46.1,1.4,,,,,,,,,,,,,,,
Dejounte Murray,SAS,24,G,67,67,100.0%,5.9,11.5,51.2,46.6,4.6,,,,,,,,,,,,,,,
Danny Green,PHI,34,G,69,69,100.0%,5.9,13.1,44.7,46.0,-1.3,,,,,,,,,,,,,,,
Isaiah Stewart,DET,20,F-C,68,68,100.0%,5.8,13.1,44.7,48.4,-3.7,,,,,,,,,,,,,,,
Devin Booker,PHX,24,G,65,65,100.0%,5.8,12.6,46.5,46.2,0.3,,,,,,,,,,,,,,,
Tobias Harris,PHI,28,F,62,62,100.0%,5.8,12.1,48.3,46.4,2.0,,,,,,,,,,,,,,,
Justin Patton,HOU,24,C,13,13,100.0%,5.8,10.8,54.3,48.6,5.7,,,,,,,,,,,,,,,
Bogdan Bogdanovic,ATL,28,G,44,44,100.0%,5.8,12.8,45.6,45.5,0.1,,,,,,,,,,,,,,,
Blake Griffin,BKN,32,F,46,46,100.0%,5.8,12.3,47.4,48.6,-1.2,,,,,,,,,,,,,,,
James Harden,BKN,31,G,44,44,100.0%,5.8,12.5,46.3,46.8,-0.5,,,,,,,,,,,,,,,
Khyri Thomas,HOU,25,G,5,5,100.0%,5.8,12.4,46.8,44.5,2.3,,,,,,,,,,,,,,,
Willy Hernangomez,NOP,27,C-F,44,44,100.0%,5.8,11.0,52.8,49.5,3.3,,,,,,,,,,,,,,,
Coby White,CHI,21,G,69,69,100.0%,5.8,11.6,50.1,45.8,4.3,,,,,,,,,,,,,,,
Luguentz Dort,OKC,22,G,51,51,100.0%,5.8,12.6,45.7,46.4,-0.7,,,,,,,,,,,,,,,
Tristan Thompson,BOS,30,C-F,54,54,100.0%,5.7,11.7,48.9,48.5,0.4,,,,,,,,,,,,,,,
Jeff Green,BKN,34,F,68,68,100.0%,5.7,11.8,48.3,47.1,1.2,,,,,,,,,,,,,,,
Miles Bridges,CHA,23,F,65,65,100.0%,5.7,12.6,45.2,47.0,-1.8,,,,,,,,,,,,,,,
Larry Nance Jr.,CLE,28,F-C,35,35,100.0%,5.7,11.9,48.0,47.7,0.2,,,,,,,,,,,,,,,
Keldon Johnson,SAS,21,F-G,69,69,100.0%,5.7,11.6,49.2,47.0,2.1,,,,,,,,,,,,,,,
Aleksej Pokusevski,OKC,19,C,44,44,100.0%,5.7,11.4,49.7,45.7,4.0,,,,,,,,,,,,,,,
Cole Anthony,ORL,21,G,45,45,100.0%,5.6,10.9,51.7,45.3,6.5,,,,,,,,,,,,,,,
Rui Hachimura,WAS,23,F,56,56,100.0%,5.6,12.3,45.7,47.4,-1.7,,,,,,,,,,,,,,,
James Wiseman,GSW,20,C,38,38,100.0%,5.6,12.0,46.9,49.3,-2.4,,,,,,,,,,,,,,,
Damian Lillard,POR,30,G,64,64,100.0%,5.6,11.9,47.1,45.4,1.6,,,,,,,,,,,,,,,
Duncan Robinson,MIA,27,F,70,70,100.0%,5.6,11.6,48.4,45.9,2.5,,,,,,,,,,,,,,,
Harrison Barnes,SAC,29,F,56,56,100.0%,5.6,11.5,48.7,48.1,0.6,,,,,,,,,,,,,,,
Naz Reid,MIN,21,C-F,69,69,100.0%,5.6,11.4,49.2,48.5,0.6,,,,,,,,,,,,,,,
Zach LaVine,CHI,26,G-F,58,58,100.0%,5.6,12.5,44.7,45.7,-1.0,,,,,,,,,,,,,,,
Jamal Murray,DEN,24,G,47,47,100.0%,5.6,12.4,45.1,46.7,-1.5,,,,,,,,,,,,,,,
Mitchell Robinson,NYK,23,C-F,30,30,100.0%,5.6,12.1,46.4,49.7,-3.3,,,,,,,,,,,,,,,
Kendrick Nunn,MIA,25,G,54,54,100.0%,5.6,11.8,47.2,45.5,1.7,,,,,,,,,,,,,,,
Sterling Brown,HOU,26,G-F,51,51,100.0%,5.6,11.0,50.9,46.1,4.8,,,,,,,,,,,,,,,
Isaiah Roby,OKC,23,F,60,60,100.0%,5.6,10.8,51.7,48.3,3.4,,,,,,,,,,,,,,,
Kevin Love,CLE,32,F-C,24,24,100.0%,5.6,10.7,52.3,47.8,4.6,,,,,,,,,,,,,,,
Collin Sexton,CLE,22,G,60,60,100.0%,5.6,11.4,48.6,45.5,3.2,,,,,,,,,,,,,,,
Lauri Markkanen,CHI,24,F-C,50,50,100.0%,5.6,11.6,48.1,46.7,1.4,,,,,,,,,,,,,,,
Jaylen Brown,BOS,24,G-F,58,58,100.0%,5.5,12.3,44.9,46.4,-1.4,,,,,,,,,,,,,,,
Justin Holiday,IND,32,F-G,71,71,100.0%,5.5,12.6,43.6,46.5,-3.0,,,,,,,,,,,,,,,
Anthony Edwards,MIN,19,G,71,71,100.0%,5.5,11.3,48.5,45.6,2.9,,,,,,,,,,,,,,,
Michael Porter Jr.,DEN,23,F,60,60,100.0%,5.5,11.6,46.9,47.0,-0.1,,,,,,,,,,,,,,,
Tyrese Haliburton,SAC,21,G,56,56,100.0%,5.5,10.7,51.0,45.3,5.7,,,,,,,,,,,,,,,
Ja Morant,MEM,21,G,63,63,100.0%,5.4,11.1,49.1,46.2,2.9,,,,,,,,,,,,,,,
Cody Zeller,CHA,28,F-C,47,47,100.0%,5.4,11.3,47.9,48.8,-0.8,,,,,,,,,,,,,,,
John Wall,HOU,30,G,40,40,100.0%,5.4,11.4,47.3,46.3,0.9,,,,,,,,,,,,,,,
Marc Gasol,LAL,36,C,52,52,100.0%,5.4,11.2,47.9,48.8,-0.8,,,,,,,,,,,,,,,
Kevon Looney,GSW,25,F,60,60,100.0%,5.4,11.1,48.6,48.5,0.1,,,,,,,,,,,,,,,
Thaddeus Young,CHI,33,F,68,68,100.0%,5.3,11.0,48.9,47.6,1.3,,,,,,,,,,,,,,,
Montrezl Harrell,LAL,27,F-C,68,68,100.0%,5.3,11.3,47.3,48.3,-1.0,,,,,,,,,,,,,,,
Nerlens Noel,NYK,27,C-F,63,63,100.0%,5.3,11.4,46.9,49.3,-2.4,,,,,,,,,,,,,,,
Kelly Oubre Jr.,GSW,25,F-G,54,54,100.0%,5.3,11.9,44.6,47.1,-2.5,,,,,,,,,,,,,,,
D'Angelo Russell,MIN,25,G,41,41,100.0%,5.3,11.1,47.8,45.8,2.0,,,,,,,,,,,,,,,
Kyrie Irving,BKN,29,G,54,54,100.0%,5.3,11.3,46.5,46.0,0.5,,,,,,,,,,,,,,,
Jimmy Butler,MIA,31,F,50,50,100.0%,5.3,11.9,44.1,46.3,-2.2,,,,,,,,,,,,,,,
Trevor Ariza,MIA,36,F,28,28,100.0%,5.3,12.0,43.9,46.4,-2.5,,,,,,,,,,,,,,,
Kawhi Leonard,LAC,30,F,52,52,100.0%,5.3,10.7,49.0,47.0,2.0,,,,,,,,,,,,,,,
Bobby Portis,MIL,26,F,65,65,100.0%,5.2,11.1,47.0,47.8,-0.9,,,,,,,,,,,,,,,
Russell Westbrook,WAS,32,G,64,64,100.0%,5.2,11.3,46.3,46.5,-0.3,,,,,,,,,,,,,,,
Trae Young,ATL,22,G,63,63,100.0%,5.2,10.7,48.7,45.3,3.3,,,,,,,,,,,,,,,
Khem Birch,TOR,28,C,66,66,100.0%,5.2,11.3,46.3,47.6,-1.3,,,,,,,,,,,,,,,
Will Barton,DEN,30,G,54,54,100.0%,5.2,10.3,50.2,46.3,3.9,,,,,,,,,,,,,,,
Derrick Favors,UTA,29,F,68,68,100.0%,5.2,10.4,49.7,49.2,0.5,,,,,,,,,,,,,,,
Deni Avdija,WAS,20,F,53,53,100.0%,5.2,10.7,48.2,47.0,1.3,,,,,,,,,,,,,,,
Tyler Herro,MIA,21,G,52,52,100.0%,5.2,11.3,45.7,45.1,0.5,,,,,,,,,,,,,,,
Donte DiVincenzo,MIL,24,G,65,65,100.0%,5.1,10.9,47.2,46.1,1.1,,,,,,,,,,,,,,,
Devonte' Graham,CHA,26,G,54,54,100.0%,5.1,11.1,46.2,45.7,0.6,,,,,,,,,,,,,,,
Reggie Bullock,NYK,30,G-F,64,64,100.0%,5.1,10.9,46.8,46.2,0.6,,,,,,,,,,,,,,,
Kevin Huerter,ATL,22,G-F,69,69,100.0%,5.1,11.6,44.3,45.6,-1.3,,,,,,,,,,,,,,,
Giannis Antetokounmpo,MIL,26,F,59,59,100.0%,5.1,11.5,44.5,47.3,-2.8,,,,,,,,,,,,,,,
Kevin Durant,BKN,32,F,35,35,100.0%,5.1,11.9,43.0,47.0,-3.9,,,,,,,,,,,,,,,
OG Anunoby,TOR,23,F,43,43,100.0%,5.1,11.7,43.3,47.3,-3.9,,,,,,,,,,,,,,,
Jae'Sean Tate,HOU,25,F,70,70,100.0%,5.0,10.8,46.5,46.9,-0.3,,,,,,,,,,,,,,,
Dorian Finney-Smith,DAL,28,F,60,60,100.0%,5.0,11.6,43.5,46.1,-2.7,,,,,,,,,,,,,,,
Patrick Williams,CHI,19,F,71,71,100.0%,5.0,10.1,49.7,47.4,2.4,,,,,,,,,,,,,,,
Danilo Gallinari,ATL,32,F,51,51,100.0%,5.0,10.3,48.5,46.8,1.7,,,,,,,,,,,,,,,
Garrett Temple,CHI,35,G-F,56,56,100.0%,5.0,11.2,44.5,45.7,-1.1,,,,,,,,,,,,,,,
Chris Paul,PHX,36,G,68,68,100.0%,5.0,9.9,50.4,45.5,4.9,,,,,,,,,,,,,,,
Malik Beasley,MIN,24,G,36,36,100.0%,5.0,9.6,51.7,45.8,5.9,,,,,,,,,,,,,,,
P.J. Tucker,MIL,36,F,52,52,100.0%,5.0,10.1,49.3,47.5,1.9,,,,,,,,,,,,,,,
Juan Toscano-Anderson,GSW,28,F,51,51,100.0%,4.9,10.3,48.0,46.8,1.2,,,,,,,,,,,,,,,
Jeremy Lamb,IND,29,G-F,36,36,100.0%,4.9,10.1,49.0,46.4,2.7,,,,,,,,,,,,,,,
Ben Simmons,PHI,24,G-F,58,58,100.0%,4.9,11.8,41.7,46.2,-4.5,,,,,,,,,,,,,,,
Nicolas Batum,LAC,32,G-F,67,67,100.0%,4.9,10.4,47.1,47.1,0.1,,,,,,,,,,,,,,,
Kyle Anderson,MEM,27,F-G,69,69,100.0%,4.9,10.9,45.0,46.2,-1.2,,,,,,,,,,,,,,,
Elfrid Payton,NYK,27,G,61,61,100.0%,4.9,10.7,45.6,45.6,-0.1,,,,,,,,,,,,,,,
De'Andre Hunter,ATL,23,F-G,23,23,100.0%,4.9,12.3,39.4,46.5,-7.1,,,,,,,,,,,,,,,
Josh Jackson,DET,24,G-F,62,62,100.0%,4.9,9.9,49.2,45.8,3.4,,,,,,,,,,,,,,,
Jaden McDaniels,MIN,20,F,61,61,100.0%,4.8,10.6,46.0,46.8,-0.9,,,,,,,,,,,,,,,
Bismack Biyombo,CHA,28,C,64,64,100.0%,4.8,10.7,45.3,47.7,-2.5,,,,,,,,,,,,,,,
Joe Harris,BKN,29,G-F,69,69,100.0%,4.8,10.4,46.4,45.6,0.8,,,,,,,,,,,,,,,
Delon Wright,SAC,29,G,61,61,100.0%,4.8,9.9,48.8,46.7,2.2,,,,,,,,,,,,,,,
Jerami Grant,DET,27,F,54,54,100.0%,4.8,10.2,47.1,47.6,-0.6,,,,,,,,,,,,,,,
Pat Connaughton,MIL,28,G,68,68,100.0%,4.8,10.3,46.2,45.5,0.7,,,,,,,,,,,,,,,
David Nwaba,HOU,28,G-F,30,30,100.0%,4.8,10.0,47.8,45.9,1.9,,,,,,,,,,,,,,,
Anthony Lamb,HOU,23,F,22,22,100.0%,4.8,8.6,55.9,46.5,9.3,,,,,,,,,,,,,,,
Freddie Gillespie,TOR,24,F,20,20,100.0%,4.8,9.4,50.3,48.3,1.9,,,,,,,,,,,,,,,
T.J. Warren,IND,27,F,4,4,100.0%,4.8,7.8,61.3,47.9,13.4,,,,,,,,,,,,,,,
Tim Hardaway Jr.,DAL,29,G-F,70,70,100.0%,4.7,10.4,45.4,45.4,0.0,,,,,,,,,,,,,,,
Chuma Okeke,ORL,22,F,44,44,100.0%,4.7,10.0,47.4,45.8,1.6,,,,,,,,,,,,,,,
DeMarcus Cousins,LAC,30,C,41,41,100.0%,4.7,9.8,48.0,48.5,-0.5,,,,,,,,,,,,,,,
Donovan Mitchell,UTA,24,G,53,53,100.0%,4.7,9.7,48.8,45.5,3.3,,,,,,,,,,,,,,,
Dakota Mathias,PHI,25,G,7,7,100.0%,4.7,10.0,47.1,45.1,2.1,,,,,,,,,,,,,,,
LaMelo Ball,CHA,19,G,50,50,100.0%,4.7,10.0,47.1,45.5,1.6,,,,,,,,,,,,,,,
Jayson Tatum,BOS,23,F-G,64,64,100.0%,4.7,9.9,47.6,46.3,1.3,,,,,,,,,,,,,,,
Mike Conley,UTA,33,G,51,51,100.0%,4.7,10.8,43.6,44.9,-1.3,,,,,,,,,,,,,,,
Killian Hayes,DET,19,G,26,26,100.0%,4.7,10.1,46.6,44.7,1.9,,,,,,,,,,,,,,,
Brandon Ingram,NOP,23,F,59,59,100.0%,4.7,9.8,47.7,46.0,1.6,,,,,,,,,,,,,,,
Aaron Gordon,DEN,25,F,49,49,100.0%,4.7,10.1,45.9,47.1,-1.2,,,,,,,,,,,,,,,
Paul Millsap,DEN,36,F,55,55,100.0%,4.7,9.4,49.2,47.4,1.8,,,,,,,,,,,,,,,
Dwayne Bacon,ORL,25,G-F,70,70,100.0%,4.6,10.0,46.2,46.0,0.3,,,,,,,,,,,,,,,
Gordon Hayward,CHA,31,F,43,43,100.0%,4.6,10.2,45.4,47.0,-1.5,,,,,,,,,,,,,,,
Mike Muscala,OKC,29,F-C,34,34,100.0%,4.6,10.7,43.3,47.9,-4.6,,,,,,,,,,,,,,,
Xavier Tillman,MEM,22,F,59,59,100.0%,4.6,10.1,45.9,48.4,-2.6,,,,,,,,,,,,,,,
Cory Joseph,DET,29,G,61,61,100.0%,4.6,9.7,47.5,45.9,1.6,,,,,,,,,,,,,,,
Landry Shamet,BKN,24,G,61,61,100.0%,4.6,8.8,52.3,45.8,6.5,,,,,,,,,,,,,,,
Aron Baynes,TOR,34,C-F,52,52,100.0%,4.6,10.0,45.9,49.1,-3.2,,,,,,,,,,,,,,,
Robert Williams III,BOS,23,C-F,52,52,100.0%,4.6,9.9,46.3,48.3,-2.0,,,,,,,,,,,,,,,
Bruce Brown,BKN,24,G-F,65,65,100.0%,4.6,9.8,46.8,46.4,0.4,,,,,,,,,,,,,,,
Naji Marshall,NOP,23,F,27,27,100.0%,4.6,9.6,47.5,46.1,1.4,,,,,,,,,,,,,,,
Jalen McDaniels,CHA,23,F-C,44,44,100.0%,4.5,9.4,47.8,45.6,2.2,,,,,,,,,,,,,,,
Brandon Clarke,MEM,24,F,59,59,100.0%,4.5,9.4,47.9,47.7,0.3,,,,,,,,,,,,,,,
Gabriel Deck,OKC,26,F,10,10,100.0%,4.5,8.4,53.6,49.9,3.6,,,,,,,,,,,,,,,
Terrence Ross,ORL,30,G-F,45,45,100.0%,4.5,9.7,45.9,45.6,0.3,,,,,,,,,,,,,,,
Frank Kaminsky,PHX,28,F-C,46,46,100.0%,4.5,9.0,49.3,48.1,1.2,,,,,,,,,,,,,,,
Michael Carter-Williams,ORL,29,G,31,31,100.0%,4.5,10.4,42.7,46.8,-4.0,,,,,,,,,,,,,,,
